Nombre Entidad,NIT Entidad,Nivel,Orden,Municipio,Numero de Resolucion,Documento Contratista,Nombre Contratista,Numero de Contrato,Valor Sancion,Fecha de Publicacion,Fecha de Firmeza,Fecha de Cargue,Ruta de Proceso
ADMINISTRADORA DE LOS RECURSOS DEL SISTEMA GENERAL DE SEGURIDAD SOCIAL EN SALUD,901037916,NACIONAL,NACIONAL DESCENTRALIZADO,Bogotá D.C.,RESOLUCION 41549 DE 2019,1067811412,JORGE HUMBERTO FERIAS MANJARRES,ADRES-CTO-137-2019,3797492,11/07/2019 12:00:00 AM,11/14/2019 12:00:00 AM,11/15/2019 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26189079
AGENCIA LOGÍSTICA DE LAS FUERZAS MILITARES (ALFM),899999162,NACIONAL,NACIONAL DESCENTRALIZADO,Acacías,070,9005939217,JL INGENIEROS OBRAS Y SUMINISTROS SAS,001-200-2014,11725280,02/02/2015 12:00:00 AM,02/02/2015 12:00:00 AM,04/09/2015 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26182025
AGENCIA LOGÍSTICA DE LAS FUERZAS MILITARES (ALFM),899999162,NACIONAL,NACIONAL DESCENTRALIZADO,Acacías,209,9005939217,JL INGENIEROS OBRAS Y SUMINISTROS LTDA,0001-200-2014,11725280,02/20/2015 12:00:00 AM,02/26/2015 12:00:00 AM,04/09/2015 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26182024
AGENCIA NACIONAL DE DEFENSA JURÍDICA DEL ESTADO (ANDJE),900507741,NACIONAL,NACIONAL CENTRALIZADO,Bogotá D.C.,039-2015,8605100317,GRUPO ASESORIA EN SISTEMATIZACION DE DATOS SAS,147-2013,247933482,02/09/2015 12:00:00 AM,02/17/2015 12:00:00 AM,08/13/2015 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26182471
AGENCIA NACIONAL DE DEFENSA JURÍDICA DEL ESTADO (ANDJE),900507741,NACIONAL,NACIONAL CENTRALIZADO,Bogotá D.C.,153-2014,39688917,KARIN IRINA KUHFELDT SALAZAR,255-2013,8589700,06/19/2014 12:00:00 AM,08/14/2014 12:00:00 AM,08/13/2015 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26182470
AGENCIA NACIONAL DE DEFENSA JURÍDICA DEL ESTADO (ANDJE),900507741,NACIONAL,NACIONAL CENTRALIZADO,Bogotá D.C.,214-2014,39688917,KARIN IRINA KUHFELDT SALAZAR,255-2013,8589700,08/14/2014 12:00:00 AM,08/27/2014 12:00:00 AM,09/15/2014 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26181181
AGENCIA NACIONAL DE INFRAESTRUCTURA (ANI),830125996,NACIONAL,NACIONAL DESCENTRALIZADO,Barranquilla,RESOLUCION 1588-2016/1877-2016,9008171150,SOCIEDAD GRUPO AEROPORTUARIO DEL CARIBE SAS,CONTRATO DE CONCESION 003-2015,0,10/25/2016 12:00:00 AM,12/19/2016 12:00:00 AM,12/29/2016 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26184845
AGENCIA NACIONAL DE INFRAESTRUCTURA (ANI),830125996,NACIONAL,NACIONAL DESCENTRALIZADO,Barranquilla,RESOLUCION No 1961 DE 2019 Y SUS ANEXOS,8190051819,SOCIEDAD PORTUARIA RIO CORDOBA SA,CONTRATO DE CONCESION NO 022-1998,712628446,12/23/2019 12:00:00 AM,08/14/2020 12:00:00 AM,08/21/2020 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26189698
AGENCIA NACIONAL DE INFRAESTRUCTURA (ANI),830125996,NACIONAL,NACIONAL DESCENTRALIZADO,Bogotá D.C.,1301-2019,9007851510,GENESIS CONSTRUCCIONES S.A.S.,VAF-468-2018,5770034,09/02/2019 12:00:00 AM,09/23/2019 12:00:00 AM,09/27/2019 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26188899
AGENCIA NACIONAL DE INFRAESTRUCTURA (ANI),830125996,NACIONAL,NACIONAL DESCENTRALIZADO,Bogotá D.C.,RESOLUCION 592-2014,890 804 378 9,DATAPOINT DE COLOMBIA S.A.S,VPRE-288,73037325,04/22/2014 12:00:00 AM,04/25/2014 12:00:00 AM,05/29/2014 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2618727
